city,year,latitude,mean_c
New York,1956,40.738136,10.7702
New York,1957,40.738136,11.7679
New York,1958,40.738136,10.1614
New York,1959,40.738136,11.7219
New York,1960,40.738136,10.4533
New York,1961,40.738136,10.6068
New York,1962,40.738136,10.4044
New York,1963,40.738136,10.4444
New York,1964,40.738136,10.7585
New York,1965,40.738136,10.5129
New York,1966,40.738136,10.7701
New York,1967,40.738136,10.0285
New York,1968,40.738136,10.7607
New York,1969,40.738136,10.5633
New York,1970,40.738136,10.5874
New York,1971,40.738136,10.9148
New York,1972,40.738136,10.4691
New York,1973,40.738136,12.1466
New York,1974,40.738136,11.4123
New York,1975,40.738136,11.917
New York,1976,40.738136,10.9604
New York,1977,40.738136,11.2466
New York,1978,40.738136,10.2559
New York,1979,40.738136,11.1345
New York,1980,40.738136,11.1981
New York,1981,40.738136,10.8989
New York,1982,40.738136,10.9638
New York,1983,40.738136,11.7353
New York,1984,40.738136,11.2814
New York,1985,40.738136,11.5808
New York,1986,40.738136,11.4504
New York,1987,40.738136,11.1175
New York,1988,40.738136,11.0754
New York,1989,40.738136,10.9499
New York,1990,40.738136,12.42
New York,1991,40.738136,12.6192
New York,1992,40.738136,10.7847
New York,1993,40.738136,11.4022
New York,1994,40.738136,11.1655
New York,1995,40.738136,11.4082
New York,1996,40.738136,10.6325
New York,1997,40.738136,11.1649
New York,1998,40.738136,12.6633
New York,1999,40.738136,12.1296
New York,2000,40.738136,10.8328
New York,2001,40.738136,11.8737
New York,2002,40.738136,12.3597
New York,2003,40.738136,10.4463
New York,2004,40.738136,11.1481
New York,2005,40.738136,11.471
New York,2006,40.738136,12.4841
New York,2007,40.738136,11.9036
New York,2008,40.738136,11.9262
New York,2009,40.738136,11.1351
New York,2010,40.738136,12.4153
New York,2011,40.738136,12.194
New York,2012,40.738136,13.0432
New York,2013,40.738136,11.5915
New York,2014,40.738136,10.7978
New York,2015,40.738136,11.7515
New York,2016,40.738136,12.5415
New York,2017,40.738136,12.3888
New York,2018,40.738136,12.1362
New York,2019,40.738136,12.0858
New York,2020,40.738136,12.8915
New York,2021,40.738136,12.7742
New York,2022,40.738136,12.4945
New York,2023,40.738136,13.0088
New York,2024,40.738136,13.0443
Reykjavik,1950,64.077324,3.9236
Reykjavik,1951,64.077324,3.2627
Reykjavik,1952,64.077324,3.8735
Reykjavik,1953,64.077324,4.5529
Reykjavik,1954,64.077324,4.2134
Reykjavik,1955,64.077324,3.4466
Reykjavik,1956,64.077324,4.5579
Reykjavik,1957,64.077324,3.9115
Reykjavik,1958,64.077324,3.726
Reykjavik,1959,64.077324,3.677
Reykjavik,1960,64.077324,4.6011
Reykjavik,1961,64.077324,3.5411
Reykjavik,1962,64.077324,3.2592
Reykjavik,1963,64.077324,3.497
Reykjavik,1964,64.077324,4.5784
Reykjavik,1965,64.077324,3.8526
Reykjavik,1966,64.077324,2.7929
Reykjavik,1967,64.077324,3.1145
Reykjavik,1968,64.077324,3.2964
Reykjavik,1969,64.077324,2.6395
Reykjavik,1970,64.077324,2.8603
Reykjavik,1971,64.077324,3.4121
Reykjavik,1972,64.077324,4.2749
Reykjavik,1973,64.077324,2.9995
Reykjavik,1974,64.077324,4.3345
Reykjavik,1975,64.077324,3.42
Reykjavik,1976,64.077324,3.8322
Reykjavik,1977,64.077324,3.4052
Reykjavik,1978,64.077324,3.0362
Reykjavik,1979,64.077324,1.9123
Reykjavik,1980,64.077324,3.8292
Reykjavik,1981,64.077324,2.7022
Reykjavik,1982,64.077324,3.1984
Reykjavik,1983,64.077324,2.5915
Reykjavik,1984,64.077324,3.2943
Reykjavik,1985,64.077324,3.7266
Reykjavik,1986,64.077324,3.4214
Reykjavik,1987,64.077324,5.0129
Reykjavik,1988,64.077324,3.3194
Reykjavik,1989,64.077324,3.2921
Reykjavik,1990,64.077324,3.7173
Reykjavik,1991,64.077324,4.5353
Reykjavik,1992,64.077324,3.6751
Reykjavik,1993,64.077324,3.8701
Reykjavik,1994,64.077324,3.2362
Reykjavik,1995,64.077324,3.0759
Reykjavik,1996,64.077324,4.1459
Reykjavik,1997,64.077324,4.4499
Reykjavik,1998,64.077324,3.8866
Reykjavik,1999,64.077324,3.5668
Reykjavik,2000,64.077324,3.7005
Reykjavik,2001,64.077324,4.5507
Reykjavik,2002,64.077324,4.7071
Reykjavik,2003,64.077324,5.4737
Reykjavik,2004,64.077324,5.144
Reykjavik,2005,64.077324,4.7411
Reykjavik,2006,64.077324,4.9384
Reykjavik,2007,64.077324,4.9578
Reykjavik,2008,64.077324,4.4891
Reykjavik,2009,64.077324,4.7214
Reykjavik,2010,64.077324,5.326
Reykjavik,2011,64.077324,4.6151
Reykjavik,2012,64.077324,5.044
Reykjavik,2013,64.077324,4.4173
Reykjavik,2014,64.077324,5.1477
Reykjavik,2015,64.077324,4.0644
Reykjavik,2016,64.077324,5.4672
Reykjavik,2017,64.077324,4.9351
Reykjavik,2018,64.077324,4.5211
Reykjavik,2019,64.077324,5.04
Reykjavik,2020,64.077324,4.5115
Reykjavik,2021,64.077324,4.9279
Reykjavik,2022,64.077324,4.6756
Reykjavik,2023,64.077324,4.5384
Reykjavik,2024,64.077324,3.923
Sydney,1950,-33.848858,16.8238
Sydney,1951,-33.848858,16.9099
Sydney,1952,-33.848858,17.0251
Sydney,1953,-33.848858,16.9162
Sydney,1954,-33.848858,16.9345
Sydney,1955,-33.848858,17.1279
Sydney,1956,-33.848858,16.4631
Sydney,1957,-33.848858,17.0986
Sydney,1958,-33.848858,17.137
Sydney,1959,-33.848858,16.9721
Sydney,1960,-33.848858,16.7727
Sydney,1961,-33.848858,16.9403
Sydney,1962,-33.848858,16.626
Sydney,1963,-33.848858,16.6414
Sydney,1964,-33.848858,16.8923
Sydney,1965,-33.848858,16.911
Sydney,1966,-33.848858,16.64
Sydney,1967,-33.848858,16.8712
Sydney,1968,-33.848858,17.1519
Sydney,1969,-33.848858,16.6956
Sydney,1970,-33.848858,16.7077
Sydney,1971,-33.848858,16.6956
Sydney,1972,-33.848858,16.7844
Sydney,1973,-33.848858,17.451
Sydney,1974,-33.848858,16.5384
Sydney,1975,-33.848858,16.9395
Sydney,1976,-33.848858,16.3101
Sydney,1977,-33.848858,16.7562
Sydney,1978,-33.848858,16.6627
Sydney,1979,-33.848858,17.2101
Sydney,1980,-33.848858,17.656
Sydney,1981,-33.848858,17.1403
Sydney,1982,-33.848858,17.0342
Sydney,1983,-33.848858,17.2003
Sydney,1984,-33.848858,16.477
Sydney,1985,-33.848858,16.6247
Sydney,1986,-33.848858,16.6099
Sydney,1987,-33.848858,16.766
Sydney,1988,-33.848858,17.4391
Sydney,1989,-33.848858,16.9592
Sydney,1990,-33.848858,16.9597
Sydney,1991,-33.848858,17.2888
Sydney,1992,-33.848858,16.3839
Sydney,1993,-33.848858,17.0329
Sydney,1994,-33.848858,16.9915
Sydney,1995,-33.848858,16.5271
Sydney,1996,-33.848858,16.6221
Sydney,1997,-33.848858,17.2595
Sydney,1998,-33.848858,17.6288
Sydney,1999,-33.848858,16.9715
Sydney,2000,-33.848858,16.9519
Sydney,2001,-33.848858,17.3203
Sydney,2002,-33.848858,17.3721
Sydney,2003,-33.848858,17.1022
Sydney,2004,-33.848858,17.4385
Sydney,2005,-33.848858,17.6562
Sydney,2006,-33.848858,17.5975
Sydney,2007,-33.848858,17.5277
Sydney,2008,-33.848858,16.8904
Sydney,2009,-33.848858,17.7696
Sydney,2010,-33.848858,17.5219
Sydney,2011,-33.848858,17.2419
Sydney,2012,-33.848858,17.0194
Sydney,2013,-33.848858,17.7077
Sydney,2014,-33.848858,17.6816
Sydney,2015,-33.848858,17.4978
Sydney,2016,-33.848858,18.0557
Sydney,2017,-33.848858,17.857
Sydney,2018,-33.848858,17.6145
Sydney,2019,-33.848858,17.8866
Sydney,2020,-33.848858,17.3765
Sydney,2021,-33.848858,16.8208
Sydney,2022,-33.848858,17.0055
Sydney,2023,-33.848858,17.5764
Sydney,2024,-33.848858,17.8342
Tokyo,1950,35.676624,14.3222
Tokyo,1951,35.676624,14.1597
Tokyo,1952,35.676624,13.8923
Tokyo,1953,35.676624,13.7003
Tokyo,1954,35.676624,13.8649
Tokyo,1955,35.676624,14.4342
Tokyo,1956,35.676624,13.8516
Tokyo,1957,35.676624,14.08
Tokyo,1958,35.676624,14.1619
Tokyo,1959,35.676624,14.6052
Tokyo,1960,35.676624,14.3413
Tokyo,1961,35.676624,14.5973
Tokyo,1962,35.676624,14.2173
Tokyo,1963,35.676624,13.7597
Tokyo,1964,35.676624,14.1601
Tokyo,1965,35.676624,13.8153
Tokyo,1966,35.676624,14.1775
Tokyo,1967,35.676624,14.0241
Tokyo,1968,35.676624,13.8306
Tokyo,1969,35.676624,13.8885
Tokyo,1970,35.676624,13.6099
Tokyo,1971,35.676624,13.831
Tokyo,1972,35.676624,14.6363
Tokyo,1973,35.676624,14.3986
Tokyo,1974,35.676624,13.8784
Tokyo,1975,35.676624,14.231
Tokyo,1976,35.676624,13.632
Tokyo,1977,35.676624,14.1356
Tokyo,1978,35.676624,14.2468
Tokyo,1979,35.676624,14.8915
Tokyo,1980,35.676624,13.3538
Tokyo,1981,35.676624,13.1425
Tokyo,1982,35.676624,14.0742
Tokyo,1983,35.676624,13.7279
Tokyo,1984,35.676624,12.8656
Tokyo,1985,35.676624,13.9395
Tokyo,1986,35.676624,13.2781
Tokyo,1987,35.676624,14.2162
Tokyo,1988,35.676624,13.7423
Tokyo,1989,35.676624,14.583
Tokyo,1990,35.676624,15.0893
Tokyo,1991,35.676624,14.5715
Tokyo,1992,35.676624,14.1866
Tokyo,1993,35.676624,13.7499
Tokyo,1994,35.676624,14.7016
Tokyo,1995,35.676624,14.4025
Tokyo,1996,35.676624,13.7653
Tokyo,1997,35.676624,14.5241
Tokyo,1998,35.676624,14.7312
Tokyo,1999,35.676624,14.8984
Tokyo,2000,35.676624,14.8888
Tokyo,2001,35.676624,14.4121
Tokyo,2002,35.676624,14.7315
Tokyo,2003,35.676624,14.2329
Tokyo,2004,35.676624,15.6246
Tokyo,2005,35.676624,14.3767
Tokyo,2006,35.676624,14.649
Tokyo,2007,35.676624,15.0803
Tokyo,2008,35.676624,14.7473
Tokyo,2009,35.676624,14.9085
Tokyo,2010,35.676624,15.2315
Tokyo,2011,35.676624,14.7592
Tokyo,2012,35.676624,14.4975
Tokyo,2013,35.676624,15.1392
Tokyo,2014,35.676624,14.6386
Tokyo,2015,35.676624,15.1762
Tokyo,2016,35.676624,15.3281
Tokyo,2017,35.676624,14.8422
Tokyo,2018,35.676624,15.6277
Tokyo,2019,35.676624,15.3816
Tokyo,2020,35.676624,15.5273
Tokyo,2021,35.676624,15.5397
Tokyo,2022,35.676624,15.423
Tokyo,2023,35.676624,16.6858
Tokyo,2024,35.676624,16.6913
