date,SPY,IWM,TLT,LQD,SHV
2010-05-10,87.0475,55.2828,58.1977,58.3362,87.1591
2010-05-11,86.8002,55.6512,58.0485,58.3969,87.167
2010-05-12,88.0142,57.357,57.607,58.3749,87.1749
2010-05-13,86.9201,56.8044,57.9863,58.5458,87.1828
2010-05-14,85.3464,55.7073,58.9935,58.5292,87.1907
2010-05-17,85.3914,55.8114,58.7759,58.6285,87.167
2010-05-18,84.2298,54.7382,59.6775,58.816,87.167
2010-05-19,83.7503,54.0895,59.8765,58.849,87.1828
2010-05-20,80.5879,51.3506,61.1387,58.7167,87.1907
2010-05-21,81.7644,52.1114,61.2008,58.6174,87.1907
2010-05-24,80.7153,51.4147,60.9895,58.7719,87.1907
2010-05-25,80.7977,51.4067,61.2878,58.4907,87.1828
2010-05-26,80.3106,51.5348,61.1138,58.5292,87.167
2010-05-27,83.0009,53.7452,59.7272,58.226,87.1907
2010-05-28,81.9593,53.0564,60.0008,58.1488,87.1907
2010-06-01,80.5804,51.4467,60.4226,58.1006,87.1876
2010-06-02,82.6786,52.9123,59.8486,58.3055,87.1955
2010-06-03,82.9634,53.593,59.4119,58.1172,87.1797
2010-06-04,80.0484,50.9022,61.009,58.4716,87.2113
2010-06-07,79.0516,49.5887,61.4769,58.7152,87.1797
2010-06-08,79.8985,49.5647,61.1712,58.7152,87.2113
2010-06-09,79.4713,49.5968,61.1025,58.7374,87.1876
2010-06-10,81.7944,51.3106,60.0108,58.4937,87.2113
2010-06-11,82.1916,52.0073,60.7719,58.7097,87.2192
2010-06-14,82.0642,52.3357,60.4599,58.5989,87.2113
2010-06-15,83.9301,53.6491,60.2104,58.527,87.1797
2010-06-16,83.9001,53.4008,60.5535,58.5879,87.1955
2010-06-17,84.035,53.4649,61.0464,58.9755,87.2113
2010-06-18,84.1261,53.4969,60.9466,58.9699,87.1955
2010-06-21,83.8852,52.9443,60.7719,59.1194,87.2113
2010-06-22,82.4998,51.8552,61.4956,59.4074,87.1876
2010-06-23,82.2438,51.711,61.9136,59.6566,87.1955
2010-06-24,80.881,50.8861,61.5455,59.4184,87.1955
2010-06-25,81.2198,51.7591,61.7951,59.5181,87.2113
2010-06-28,80.9638,51.4627,62.3753,59.8448,87.2034
2010-06-29,78.464,49.5167,63.0553,59.8171,87.2034
2010-06-30,77.7186,48.9481,63.4795,60.0552,87.2192
2010-07-01,77.3723,48.5957,63.5797,60.1219,87.1852
2010-07-02,76.9506,48.0646,63.0728,59.9496,87.201
2010-07-06,77.4551,47.4379,63.5922,60.1998,87.1852
2010-07-07,79.8946,49.0931,62.8475,60.2386,87.2089
2010-07-08,80.6852,49.8001,62.447,60.0886,87.2247
2010-07-09,81.2875,50.5715,62.0903,60.0163,87.2247
2010-07-12,81.3403,50.001,62.0652,60.0886,87.2247
2010-07-13,82.5675,51.5839,61.5334,60.1219,87.201
2010-07-14,82.56,51.3991,62.1529,60.3888,87.2327
2010-07-15,82.5826,50.925,62.7724,60.4944,87.2089
2010-07-16,80.3087,49.0689,63.0791,60.6,87.2168
2010-07-19,80.7831,49.2779,62.691,60.5889,87.201
2010-07-20,81.6791,50.1055,62.7849,60.6556,87.2089
2010-07-21,80.6174,49.2055,63.8488,60.9503,87.201
2010-07-22,82.4169,50.9571,63.1104,60.8725,87.2168
2010-07-23,83.1322,52.2106,62.4407,60.9503,87.201
2010-07-26,83.9981,53.3998,62.3343,61.0059,87.1931
2010-07-27,83.9906,53.2069,61.7336,60.8002,87.2089
2010-07-28,83.4485,52.3472,61.9339,61.017,87.2247
2010-07-29,83.0419,52.2106,61.9151,61.0393,87.201
2010-07-30,83.0268,52.2427,62.8788,61.3228,87.201
2010-08-02,84.9017,53.1507,61.996,61.1927,87.1994
2010-08-03,84.4951,52.7248,62.3539,61.3434,87.1994
2010-08-04,85.0598,53.2792,61.8768,61.1537,87.2311
2010-08-05,84.9694,52.6525,62.1656,61.2653,87.2074
2010-08-06,84.6231,52.3391,62.8436,61.6169,87.2074
2010-08-09,85.0748,52.9177,62.6114,61.8179,87.2074
2010-08-10,84.6156,51.9213,62.7432,61.7398,87.2074
2010-08-11,82.2965,49.8805,63.5844,61.7342,87.2153
2010-08-12,81.792,49.6314,63.4275,61.5165,87.2311
2010-08-13,81.551,49.0689,64.2185,61.7565,87.2074
2010-08-16,81.5134,49.4627,65.8257,62.4375,87.2153
2010-08-17,82.5148,50.3144,65.4491,62.337,87.2232
2010-08-18,82.6654,50.467,65.6248,62.3928,87.239
2010-08-19,81.2273,49.085,66.6482,62.4598,87.2153
2010-08-20,80.9638,49.1332,66.5728,62.5714,87.239
2010-08-23,80.6551,48.4663,66.5854,62.7054,87.2153
2010-08-24,79.4579,47.9119,67.6526,62.8505,87.2074
2010-08-25,79.7666,48.6351,67.4329,62.9677,87.2153
2010-08-26,79.232,48.2735,68.067,63.0236,87.2074
2010-08-27,80.4593,49.535,66.1396,62.4542,87.2311
2010-08-30,79.2922,48.4503,67.4078,62.8617,87.2153
2010-08-31,79.2922,48.3539,68.1549,63.0738,87.2232
2010-09-01,81.664,50.226,66.7456,62.5998,87.2224
2010-09-02,82.4245,50.7804,66.0404,62.5214,87.2224
2010-09-03,83.4937,51.6883,65.2219,62.0507,87.2303
2010-09-07,82.5525,50.7081,66.5568,62.5101,87.2145
2010-09-08,83.1322,51.0054,66.0279,62.3869,87.2145
2010-09-09,83.5163,51.0375,64.7244,62.0619,87.2145
2010-09-10,83.9379,51.1982,64.4285,62.1068,87.2145
2010-09-13,84.8715,52.4436,64.7434,62.1908,87.2461
2010-09-14,84.8188,52.2186,65.3667,62.4822,87.2224
2010-09-15,85.1426,52.5159,64.397,62.3813,87.2382
2010-09-16,85.12,52.1785,63.761,62.1852,87.2461
2010-09-17,85.1518,52.3954,64.0192,62.3869,87.2303
2010-09-20,86.4538,53.8497,64.3907,62.4653,87.2303
2010-09-21,86.2797,53.5363,65.2848,62.9416,87.2303
2010-09-22,85.8558,52.9016,65.8704,62.9023,87.2303
2010-09-23,85.1594,52.2612,66.0593,62.9472,87.2541
2010-09-24,86.9156,53.9608,65.1715,62.8071,87.2303
2010-09-27,86.4992,53.8239,66.3049,63.1321,87.2461
2010-09-28,86.802,54.3555,66.7583,63.2442,87.2461
2010-09-29,86.6506,54.5086,66.4812,63.1825,87.2382
2010-09-30,86.3932,54.3716,66.4371,63.3617,87.2461
2010-10-01,86.7566,54.6616,66.1161,63.0547,87.2374
2010-10-04,86.1056,53.9205,66.2867,63.1559,87.2216
2010-10-05,87.8391,55.451,65.8885,63.2853,87.2374
2010-10-06,87.8315,55.2657,66.7165,63.6959,87.2374
2010-10-07,87.7255,55.1046,66.1602,63.679,87.2295
2010-10-08,88.2175,55.8054,65.8696,63.6171,87.2612
2010-10-11,88.3008,55.8538,65.8822,63.6734,87.2295
2010-10-12,88.5733,55.9987,65.2312,63.5778,87.2374
2010-10-13,89.2622,56.8526,65.1301,63.544,87.2533
2010-10-14,88.914,56.8123,64.1568,63.0322,87.2295
2010-10-15,89.0956,56.619,63.3731,62.6329,87.2533
2010-10-18,89.5346,57.0942,63.8851,63.0659,87.2374
2010-10-19,88.3614,55.9827,64.2705,63.0716,87.2612
2010-10-20,89.2243,56.5546,64.4096,63.1841,87.2533
2010-10-21,89.4211,56.2807,63.6448,63.0153,87.2453
2010-10-22,89.5877,56.6432,64.0747,63.094,87.2612
2010-10-25,89.8526,56.9815,64.2579,63.319,87.2453
2010-10-26,89.8678,56.9412,63.2656,62.9816,87.2612
2010-10-27,89.6104,56.7962,62.7094,62.8184,87.2374
2010-10-28,89.6255,56.4498,62.8801,63.0716,87.2453
2010-10-29,89.6936,56.6271,63.4679,63.1953,87.2453
2010-11-01,89.7239,56.2404,63.1947,63.1739,87.2208
2010-11-02,90.4355,57.4084,64.0252,63.4674,87.2366
2010-11-03,90.7988,57.6339,62.7191,63.2585,87.2683
2010-11-04,92.5474,59.0919,63.2073,63.857,87.2683
2010-11-05,92.8956,59.4221,62.1231,63.6538,87.2445
2010-11-08,92.7216,59.3738,62.4021,63.6877,87.2445
2010-11-09,92.0554,58.5844,61.0262,63.2134,87.2366
2010-11-10,92.4263,59.2369,61.1086,63.0779,87.2366
2010-11-11,92.0781,59.0033,61.0769,62.8012,87.2287
2010-11-12,90.9881,58.0206,60.7472,62.3608,87.2366
2010-11-15,90.8594,58.0286,59.4791,61.6776,87.2366
2010-11-16,89.4438,56.9009,60.9564,62.0051,87.2366
2010-11-17,89.4893,57.054,60.6204,62.0051,87.2445
2010-11-18,90.8064,58.1656,60.8677,62.0503,87.2366
2010-11-19,91.0562,58.3589,61.2418,62.2648,87.2524
2010-11-22,90.9805,58.6408,61.5018,62.6092,87.2604
2010-11-23,89.6634,58.085,61.8061,62.6431,87.2287
2010-11-24,90.9881,59.3899,60.7028,62.1294,87.2366
2010-11-26,89.9283,58.9791,61.5461,62.2084,87.2366
2010-11-29,90.2008,59.0677,62.0724,62.2704,87.2208
2010-11-30,89.6936,58.6006,62.3957,62.1745,87.2445
2010-12-01,91.6012,59.9135,61.0087,62.0362,87.228
2010-12-02,92.7745,60.5176,60.8496,61.9002,87.2438
2010-12-03,93.0243,60.9526,60.3725,61.7245,87.2517
2010-12-06,92.9259,61.3312,61.2251,62.1552,87.2596
2010-12-07,92.9789,61.6856,59.9144,61.5771,87.2596
2010-12-08,93.3195,61.6453,59.3355,61.1803,87.2596
2010-12-09,93.6829,61.8548,59.6281,61.3277,87.2596
2010-12-10,94.2279,62.6281,59.2654,61.0443,87.2438
2010-12-13,94.2884,62.3059,59.4881,61.271,87.2438
2010-12-14,94.3717,62.2736,58.6228,60.8969,87.2596
2010-12-15,93.9403,62.0803,57.8593,60.5172,87.2596
2010-12-16,94.4853,62.6522,58.2602,60.8119,87.2596
2010-12-17,94.5865,62.8456,59.3227,61.3674,87.2438
2010-12-20,94.8148,63.0953,59.2591,61.3277,87.2675
2010-12-21,95.4159,63.796,59.6726,61.4581,87.2675
2010-12-22,95.7127,63.7774,59.2463,61.407,87.2438
2010-12-23,95.5757,63.6965,59.1255,61.4354,87.2359
2010-12-27,95.6138,63.8907,59.6535,61.5544,87.2359
2010-12-28,95.7507,63.7127,58.4852,61.0639,87.2755
2010-12-29,95.8192,63.8503,59.4748,61.5248,87.2755
2010-12-30,95.667,63.7289,59.4301,61.5533,87.2675
2010-12-31,95.6899,63.3081,60.0877,61.7069,87.2755
2011-01-03,96.6791,64.4086,59.6344,61.9459,87.2675
2011-01-04,96.6258,63.4538,59.7046,62.0256,87.2755
2011-01-05,97.1281,64.1982,58.3895,61.5704,87.2755
2011-01-06,96.9378,63.8988,58.6448,61.6614,87.2755
2011-01-07,96.7476,63.5347,58.9577,61.9743,87.2755
2011-01-10,96.6258,63.8988,59.2769,62.0825,87.2438
2011-01-11,96.9683,64.1577,58.9449,62.054,87.2438
2011-01-12,97.8434,64.708,58.4852,62.0142,87.2517
2011-01-13,97.6835,64.6837,59.0087,62.2816,87.2438
2011-01-14,98.3913,65.1692,58.6321,61.9858,87.2438
2011-01-18,98.5587,65.2177,58.3576,61.9516,87.2438
2011-01-19,97.5923,63.5428,58.7789,61.9061,87.2517
2011-01-20,97.4629,62.8793,57.9681,61.6387,87.2517
2011-01-21,97.6835,62.4585,58.4278,61.7297,87.2438
2011-01-24,98.239,62.9197,58.4533,61.7582,87.2596
2011-01-25,98.2923,63.0169,59.0087,62.0654,87.2438
2011-01-26,98.6728,64.0202,58.115,61.7183,87.2517
2011-01-27,98.9163,64.2063,58.3767,61.8207,87.2517
2011-01-28,97.1889,62.6366,58.6832,61.9004,87.2596
2011-01-31,97.9195,63.0735,58.2363,61.7297,87.2596
2011-02-01,99.487,64.53,57.948,61.648,87.2754
2011-02-02,99.2968,64.2872,57.9608,61.528,87.2596
2011-02-03,99.5175,64.5138,57.4803,61.3795,87.2754
2011-02-04,99.799,64.6271,56.8973,61.1909,87.2517
2011-02-07,100.423,65.2663,57.192,61.2595,87.2675
2011-02-08,100.8796,65.7275,56.6666,61.0367,87.2675
2011-02-09,100.6512,65.4362,57.16,61.4309,87.2754
2011-02-10,100.6893,65.6952,56.5001,61.1281,87.2754
2011-02-11,101.2905,66.4072,57.3137,61.4652,87.2675
2011-02-14,101.534,66.747,57.3521,61.5052,87.2754
2011-02-15,101.2144,66.3667,57.6084,61.6423,87.2596
2011-02-16,101.8536,66.9007,57.4226,61.568,87.2754
2011-02-17,102.158,67.3701,57.5123,61.6823,87.2834
2011-02-18,102.371,67.4429,57.3329,61.7737,87.2596
2011-02-22,100.3165,65.7113,58.1914,61.9451,87.2675
2011-02-23,99.7001,64.5785,58.4028,61.8708,87.2517
2011-02-24,99.6316,64.9912,58.7744,61.9394,87.2596
2011-02-25,100.6969,66.4962,59.1204,62.2307,87.2754
2011-02-28,101.3209,66.569,59.1972,62.3964,87.2675
2011-03-01,99.6316,65.2339,59.3688,62.3975,87.2588
2011-03-02,99.8447,65.509,58.4562,62.0649,87.2588
2011-03-03,101.5644,66.9979,57.8841,61.801,87.2588
2011-03-04,100.8035,66.7066,58.3662,62.0362,87.2588
2011-03-07,100.0121,65.6142,57.9934,61.8813,87.2588
2011-03-08,100.8872,66.6823,57.64,61.801,87.2588
2011-03-09,100.7426,66.4153,58.1991,62.1222,87.2905
2011-03-10,98.8783,64.708,59.176,62.3746,87.2984
2011-03-11,99.5631,64.8779,58.8418,62.3172,87.2905
2011-03-14,98.962,64.53,58.8161,62.386,87.2984
2011-03-15,97.8281,63.9554,59.6967,62.3803,87.2905
2011-03-16,96.0171,63.3162,60.3715,62.7531,87.2746
2011-03-17,97.2879,63.4538,59.9087,62.713,87.2746
2011-03-18,97.6417,64.2953,60.0694,62.7531,87.2984
2011-03-21,99.1549,65.7841,59.7159,62.5524,87.2905
2011-03-22,98.811,65.4362,59.9152,62.6671,87.2746
2011-03-23,99.0938,65.6385,59.8381,62.627,87.2984
2011-03-24,100.0415,66.0918,59.3881,62.4204,87.2825
2011-03-25,100.3472,66.6674,59.2403,62.3287,87.2905
2011-03-28,100.1027,66.5215,59.3239,62.3516,87.2905
2011-03-29,100.7752,67.1458,58.8676,62.0477,87.2746
2011-03-30,101.4707,68.0134,59.3367,62.2598,87.2746
2011-03-31,101.3331,68.2486,59.2146,62.0591,87.2825
2011-04-01,101.761,68.5486,59.5025,62.3522,87.3063
2011-04-04,101.8452,68.7027,59.567,62.4962,87.2984
2011-04-05,101.8299,69.0757,59.3282,62.5307,87.2746
2011-04-06,102.1508,69.2297,58.4375,62.3292,87.2825
2011-04-07,101.891,68.8162,58.3213,62.237,87.3063
2011-04-08,101.5394,68.0945,58.0115,62.2025,87.2984
2011-04-11,101.2337,67.4864,58.0631,62.2083,87.2904
2011-04-12,100.4771,66.6026,58.6893,62.4271,87.3142
2011-04-13,100.4695,66.6918,59.0571,62.5365,87.3142
2011-04-14,100.5459,66.9999,59.0119,62.381,87.3221
2011-04-15,100.9128,67.7134,59.8122,62.7093,87.3063
2011-04-18,99.7816,66.5945,59.9478,62.7956,87.3142
2011-04-19,100.3548,66.6107,60.206,62.9281,87.33
2011-04-20,101.7229,67.9729,59.8187,62.9568,87.3221
2011-04-21,102.2426,68.4756,59.7671,63.0144,87.3379
2011-04-25,102.1356,68.3864,59.993,63.0778,87.2984
2011-04-26,103.0144,69.0676,60.5739,63.3715,87.3063
2011-04-27,103.687,69.4811,59.9543,63.2908,87.33
2011-04-28,104.0233,69.7973,60.4125,63.4924,87.3063
2011-04-29,104.2678,70.0487,60.5997,63.6133,87.33
2011-05-02,104.1074,69.2297,60.6969,63.7619,87.3134
2011-05-03,103.7329,68.354,61.0405,63.733,87.3292
2011-05-04,103.045,67.4702,61.3127,63.8255,87.3372
2011-05-05,102.1126,67.1621,61.8961,64.0451,87.3292
2011-05-06,102.5635,67.5189,61.6239,64.0451,87.3372
2011-05-09,102.961,68.3053,61.559,64.1088,87.2976
2011-05-10,103.8399,69.3513,61.1183,63.8486,87.3214
2011-05-11,102.747,68.0702,61.4683,63.9526,87.2976
2011-05-12,103.2361,68.6702,61.0794,63.8024,87.3055
2011-05-13,102.4412,67.7134,61.6303,63.9931,87.3372
2011-05-16,101.7916,66.7242,61.9739,64.1781,87.2976
2011-05-17,101.7764,66.5134,62.6091,64.2648,87.3292
2011-05-18,102.6858,67.5351,61.7794,64.103,87.3134
2011-05-19,102.9304,67.681,61.7535,64.2128,87.3134
2011-05-20,102.1126,67.1864,61.7859,64.1665,87.2976
2011-05-23,100.928,65.9782,62.0841,64.1261,87.3214
2011-05-24,100.844,65.662,62.3174,64.207,87.3055
2011-05-25,101.1802,66.4891,62.0257,64.0798,87.3214
2011-05-26,101.6464,67.3648,62.5572,64.3573,87.3134
2011-05-27,102.0362,67.827,62.5313,64.4267,87.3292
2011-05-31,103.0985,68.7918,62.6739,64.4209,87.3214
2011-06-01,100.7828,66.5783,63.521,64.743,87.3206
2011-06-02,100.6758,66.5539,62.3109,64.1569,87.3206
2011-06-03,99.6746,65.5809,62.6687,64.2961,87.3206
2011-06-06,98.62,64.5025,62.1938,64.1859,87.3047
2011-06-07,98.5588,64.6566,62.48,64.4064,87.3047
2011-06-08,98.1461,63.9349,62.968,64.447,87.2968
2011-06-09,98.8951,64.2754,62.7142,64.2729,87.2968
2011-06-10,97.5194,63.2457,63.1956,64.1975,87.3047
2011-06-13,97.5959,63.0673,62.8769,64.2672,87.2889
2011-06-14,98.834,64.4214,61.9271,64.0756,87.2968
2011-06-15,97.0762,63.27,63.0525,64.4296,87.3047
2011-06-16,97.2902,63.416,63.3388,64.3077,87.3126
2011-06-17,97.5805,63.4322,63.0395,64.331,87.3126
2011-06-20,98.0797,64.016,63.1176,64.3426,87.3206
2011-06-21,99.4238,65.4026,62.8379,64.3251,87.3285
2011-06-22,98.8247,64.8998,62.8769,64.4122,87.3285
2011-06-23,98.5406,65.1512,63.3583,64.5805,87.3285
2011-06-24,97.3961,64.8187,63.0916,64.6153,87.3126
2011-06-27,98.264,65.3214,62.2264,64.4064,87.3047
2011-06-28,99.5467,66.335,61.7254,63.9595,87.3126
2011-06-29,100.3992,66.6512,61.3156,63.8145,87.3285
2011-06-30,101.3592,67.1377,61.218,63.9073,87.3364
2011-07-01,102.857,68.1837,61.1201,63.9108,87.3348
2011-07-05,102.7725,68.348,61.2571,64.138,87.3348
2011-07-06,102.8954,68.6245,61.5705,64.272,87.3427
2011-07-07,103.9629,69.6574,61.3877,64.2895,87.3269
2011-07-08,103.2256,69.2345,62.2559,64.7031,87.319
2011-07-11,101.3592,67.7624,63.1894,64.9186,87.319
2011-07-12,100.9215,67.3802,63.4048,64.9711,87.311
2011-07-13,101.2594,67.982,63.581,65.1342,87.319
2011-07-14,100.5605,66.9004,62.6736,64.7322,87.3269
2011-07-15,101.1442,67.3477,62.7781,64.8778,87.319
2011-07-18,100.3147,66.266,62.171,64.6274,87.319
2011-07-19,101.943,67.7624,63.4635,64.9419,87.319
2011-07-20,101.8815,67.6486,62.7128,64.7905,87.3031
2011-07-21,103.2948,68.2667,62.2298,64.6914,87.3031
2011-07-22,103.3639,68.3561,62.6998,64.9536,87.2952
2011-07-25,102.7879,67.551,62.0144,64.6448,87.319
2011-07-26,102.4038,67.0386,62.4387,64.9303,87.2873
2011-07-27,100.3071,65.038,62.4452,64.738,87.3031
2011-07-28,100.0152,64.9323,62.6802,64.8778,87.2794
2011-07-29,99.3316,64.8509,63.9205,65.4604,87.2873
